Year,Month,Price
2007,2,290000
2007,3,319000
2007,4,399000
2007,5,339500
2007,6,345000
2007,7,517563
2007,8,499850
2007,9,501000
2007,10,426643
2007,11,490643
2007,12,448182
2008,1,449000
2008,2,431600
2008,3,492500
2008,4,439056
2008,5,484125
2008,6,479839
2008,7,442385
2008,8,402480
2008,9,439237
2008,10,434979
2008,11,460671
2008,12,421293
2009,1,413208
2009,2,397925
2009,3,460189
2009,4,430386
2009,5,420903
2009,6,460718
2009,7,451048
2009,8,429874
2009,9,447053
2009,10,470778
2009,11,467960
2009,12,492219
2010,1,445957
2010,2,506450
2010,3,468836
2010,4,520293
2010,5,503674
2010,6,467835
2010,7,492361
2010,8,498503
2010,9,504772
2010,10,526412
2010,11,507377
2010,12,513077
2011,1,461363
2011,2,506361
2011,3,525366
2011,4,497185
2011,5,523430
2011,6,578707
2011,7,519038
2011,8,528033
2011,9,501224
2011,10,491631
2011,11,523167
2011,12,480200
2012,1,483744
2012,2,501747
2012,3,492798
2012,4,483919
2012,5,484451
2012,6,480892
2012,7,510680
2012,8,466341
2012,9,529166
2012,10,520820
2012,11,530983
2012,12,505861
2013,1,491602
2013,2,483484
2013,3,520100
2013,4,507823
2013,5,512706
2013,6,486264
2013,7,512277
2013,8,477284
2013,9,489573
2013,10,523893
2013,11,490852
2013,12,524634
2014,1,494629
2014,2,506258
2014,3,518245
2014,4,505459
2014,5,532956
2014,6,497936
2014,7,503694
2014,8,531516
2014,9,503861
2014,10,526232
2014,11,543289
2014,12,531493
2015,1,484249
2015,2,522260
2015,3,588582
2015,4,531718
2015,5,577037
2015,6,513110
2015,7,527016
2015,8,554017
2015,9,530172
2015,10,576822
2015,11,583620
2015,12,566502
2016,1,514635
2016,2,558630
2016,3,566588
2016,4,582030
2016,5,539814
2016,6,554179
2016,7,564619
2016,8,566015
2016,9,634615
2016,10,569615
2016,11,661734
2016,12,604177
2017,1,523864
2017,2,615497
2017,3,617935
2017,4,621810
2017,5,620595
2017,6,609377
2017,7,603253
2017,8,603182
2017,9,614194
2017,10,600612
2017,11,633972
2017,12,625186
2018,1,593738
2018,2,627143
2018,3,629881
2018,4,645611
2018,5,630602
2018,6,612587
2018,7,626589
2018,8,629654
2018,9,631121
2018,10,633184
2018,11,619818
2018,12,653314
2019,1,630606
2019,2,610157
2019,3,627038
2019,4,637188
2019,5,609585
2019,6,638710
2019,7,605833
