Year,Month,Price
2007,8,320000
2007,9,
2007,10,
2007,11,481000
2007,12,259000
2008,1,363250
2008,2,515000
2008,3,
2008,4,
2008,5,404667
2008,6,480000
2008,7,860000
2008,8,393167
2008,9,539100
2008,10,402333
2008,11,470000
2008,12,411600
2009,1,442500
2009,2,410000
2009,3,329563
2009,4,325500
2009,5,444700
2009,6,447750
2009,7,426800
2009,8,486700
2009,9,655000
2009,10,492250
2009,11,384000
2009,12,342000
2010,1,350000
2010,2,564333
2010,3,416750
2010,4,513100
2010,5,539500
2010,6,399500
2010,7,606750
2010,8,413333
2010,9,588000
2010,10,467869
2010,11,436000
2010,12,369143
2011,1,340000
2011,2,452500
2011,3,578200
2011,4,488333
2011,5,427667
2011,6,474700
2011,7,655000
2011,8,536250
2011,9,397833
2011,10,453667
2011,11,385750
2011,12,383500
2012,1,405000
2012,2,510000
2012,3,574800
2012,4,835000
2012,5,419500
2012,6,
2012,7,436600
2012,8,491313
2012,9,470250
2012,10,417000
2012,11,471886
2012,12,509750
2013,1,431500
2013,2,311175
2013,3,
2013,4,450042
2013,5,424500
2013,6,305000
2013,7,410000
2013,8,404583
2013,9,494333
2013,10,495667
2013,11,354803
2013,12,509071
2014,1,408000
2014,2,464700
2014,3,378875
2014,4,438750
2014,5,413357
2014,6,429286
2014,7,556375
2014,8,389583
2014,9,463583
2014,10,502500
2014,11,548271
2014,12,533500
2015,1,428569
2015,2,613900
2015,3,475200
2015,4,439300
2015,5,511750
2015,6,700625
2015,7,388857
2015,8,460109
2015,9,495250
2015,10,529676
2015,11,560083
2015,12,493500
2016,1,492875
2016,2,476500
2016,3,505045
2016,4,382636
2016,5,440417
2016,6,535286
2016,7,587583
2016,8,399964
2016,9,624000
2016,10,551993
2016,11,630650
2016,12,529115
2017,1,349667
2017,2,487864
2017,3,498738
2017,4,552958
2017,5,487509
2017,6,423554
2017,7,399850
2017,8,445500
2017,9,402433
2017,10,544139
2017,11,534396
2017,12,699250
2018,1,416750
2018,2,520813
2018,3,600200
2018,4,468533
2018,5,650100
2018,6,488167
2018,7,468059
2018,8,537300
2018,9,580000
2018,10,524875
2018,11,549522
2018,12,517143
2019,1,399083
2019,2,378833
2019,3,408333
2019,4,555083
2019,5,534833
2019,6,455000
2019,7,494455
