Year,Month,Price
2007,8,325000
2007,11,497000
2007,12,259000
2008,1,417500
2008,2,515000
2008,5,575000
2008,6,480000
2008,7,860000
2008,8,550000
2008,9,662500
2008,10,525000
2008,11,630000
2008,12,625000
2009,1,465000
2009,2,485000
2009,3,351126
2009,4,336000
2009,5,527500
2009,6,520000
2009,7,524000
2009,8,780100
2009,9,810000
2009,10,960000
2009,11,398000
2009,12,342000
2010,1,372500
2010,2,1000000
2010,3,500000
2010,4,970000
2010,5,773000
2010,6,477000
2010,7,760000
2010,8,550000
2010,9,760000
2010,10,820000
2010,11,488000
2010,12,460000
2011,1,340000
2011,2,625000
2011,3,731000
2011,4,620000
2011,5,631000
2011,6,875000
2011,7,655000
2011,8,710000
2011,9,450000
2011,10,525000
2011,11,415000
2011,12,385000
2012,1,415000
2012,2,575000
2012,3,970000
2012,4,960000
2012,5,641000
2012,7,653000
2012,8,845000
2012,9,740000
2012,10,682000
2012,11,795000
2012,12,850000
2013,1,490000
2013,2,402525
2013,4,795000
2013,5,670000
2013,6,395000
2013,7,425000
2013,8,567500
2013,9,564000
2013,10,790000
2013,11,527000
2013,12,799000
2014,1,408000
2014,2,845000
2014,3,410000
2014,4,750000
2014,5,606000
2014,6,642000
2014,7,955000
2014,8,736000
2014,9,630000
2014,10,850000
2014,11,1140000
2014,12,640000
2015,1,469000
2015,2,970000
2015,3,780000
2015,4,565000
2015,5,673500
2015,6,1113000
2015,7,595000
2015,8,760000
2015,9,927000
2015,10,930000
2015,11,990000
2015,12,800000
2016,1,575000
2016,2,851000
2016,3,778000
2016,4,705000
2016,5,695000
2016,6,673000
2016,7,1370000
2016,8,485000
2016,9,1210000
2016,10,1140000
2016,11,1260000
2016,12,1450000
2017,1,410000
2017,2,1136000
2017,3,716000
2017,4,1455000
2017,5,811000
2017,6,488825
2017,7,495000
2017,8,710000
2017,9,683000
2017,10,1325000
2017,11,1038000
2017,12,3050000
2018,1,495000
2018,2,1250000
2018,3,970000
2018,4,680000
2018,5,1200000
2018,6,860000
2018,7,880000
2018,8,890000
2018,9,830000
2018,10,612500
2018,11,1007000
2018,12,1001000
2019,1,445000
2019,2,422000
2019,3,445000
2019,4,665000
2019,5,965000
2019,6,670000
2019,7,710000
